cell,x,y,stem
tumor,3438,4167,0
tumor,3125,2917,0
tumor,1094,1875,0
tumor,2500,2917,0
tumor,3281,2708,0
tumor,469,1250,0
tumor,156,1458,0
tumor,156,1042,0
tumor,4375,4375,0
tumor,4688,4375,0
tumor,1875,1458,0
tumor,3906,3750,0
tumor,1406,1667,0
tumor,3438,3958,0
tumor,2656,2292,0
tumor,3750,3333,0
tumor,4375,4792,0
tumor,3438,2917,0
tumor,3438,2708,0
lymphocyte,781,1250,0
tumor,3906,4792,0
tumor,938,1667,0
tumor,1250,1042,0
tumor,4844,4583,0
tumor,1875,1250,0
tumor,0,1250,0
tumor,1875,833,0
tumor,1094,1042,0
tumor,1406,1875,0
tumor,4062,3958,0
tumor,2031,1042,0
tumor,1406,833,0
tumor,4219,4792,0
tumor,3281,3750,0
tumor,4688,5000,0
tumor,2344,2500,0
tumor,2188,2500,0
tumor,1250,1250,0
tumor,2500,1250,0
tumor,2500,2292,0
tumor,4062,3750,0
tumor,3750,4583,0
tumor,469,833,0
tumor,2031,2500,0
tumor,2031,1667,0
tumor,4062,2917,0
tumor,2031,1250,0
tumor,2969,2500,0
tumor,4219,5000,0
tumor,3125,1875,0
tumor,2656,1667,0
tumor,4688,4583,0
tumor,4219,4167,0
tumor,3594,4583,0
tumor,3125,2083,0
tumor,1875,2083,0
tumor,1250,1458,0
lymphocyte,938,625,0
tumor,1406,2083,0
tumor,4375,4583,0
tumor,3438,3750,0
tumor,4531,3958,0
tumor,4688,4792,0
tumor,1562,1875,0
tumor,1875,2292,0
tumor,2656,2708,0
lymphocyte,1094,833,0
tumor,3906,4583,0
tumor,3906,5000,0
tumor,3281,1875,0
tumor,3750,4792,0
tumor,625,1250,0
tumor,1719,1875,0
tumor,1094,1667,0
tumor,3906,3958,0
tumor,1719,833,0
tumor,781,1042,0
tumor,3594,3750,0
tumor,2500,1875,0
tumor,312,1250,0
tumor,1562,1458,0
tumor,3750,5000,0
tumor,3125,3125,0
tumor,4375,3333,0
lymphocyte,312,0,0
tumor,4531,4583,0
tumor,3906,2708,0
tumor,2344,1042,0
tumor,3594,2292,0
tumor,625,1042,0
tumor,312,1458,0
tumor,1719,2083,0
tumor,3750,2917,0
tumor,2812,2708,0
tumor,2656,1458,0
tumor,2656,2500,0
tumor,2656,2917,0
tumor,781,833,0
tumor,4062,4583,0
tumor,2500,1458,0
tumor,4375,3542,0
tumor,625,1458,0
tumor,2188,2292,0
tumor,2656,1875,0
tumor,3438,2500,0
tumor,4531,4167,0
tumor,3438,2292,0
tumor,4531,4792,0
tumor,1875,2500,0
tumor,2812,3125,0
tumor,4219,3958,0
tumor,4062,3542,0
tumor,3750,4167,0
tumor,1406,625,0
tumor,2812,1458,0
tumor,3750,3125,0
tumor,3594,2500,0
tumor,3594,3542,0
tumor,3594,4167,0
tumor,3594,4792,0
tumor,3750,2500,0
tumor,4219,3333,0
tumor,781,625,0
tumor,0,1042,0
tumor,1250,625,0
tumor,4219,4375,0
lymphocyte,469,208,0
tumor,3281,2917,0
tumor,2188,1250,0
tumor,4531,5000,0
tumor,1875,2708,0
tumor,469,625,0
tumor,312,833,0
tumor,2344,1875,0
tumor,2344,2292,0
tumor,3438,3125,0
tumor,1094,1458,0
tumor,3906,2917,0
lymphocyte,469,0,0
tumor,3594,4375,0
tumor,3125,3333,0
tumor,2969,2292,0
tumor,1250,1667,0
tumor,3906,4167,0
tumor,1719,1042,0
tumor,3438,4375,0
tumor,2188,1875,0
tumor,2969,2083,0
tumor,1875,1042,0
tumor,1719,625,0
tumor,2031,833,0
tumor,4219,3542,0
tumor,625,833,0
tumor,1562,1667,0
tumor,4688,4167,0
tumor,2812,2500,0
tumor,1406,1042,0
tumor,4062,4375,0
tumor,2500,2708,0
tumor,4375,3750,0
tumor,2812,1875,0
tumor,3125,2708,0
tumor,3594,3958,0
tumor,2188,1042,0
tumor,469,1042,0
tumor,1094,625,0
tumor,4219,3750,0
lymphocyte,3125,3542,0
lymphocyte,156,208,0
tumor,3125,3750,0
tumor,2031,2083,0
tumor,2344,2083,0
tumor,3906,3125,0
tumor,1562,833,0
tumor,4219,4583,0
lymphocyte,3281,2083,0
tumor,2031,1458,0
tumor,2969,1667,0
tumor,312,1042,0
tumor,4844,4792,0
tumor,1719,1250,0
tumor,2188,1458,0
tumor,2500,1667,0
tumor,2344,1250,0
tumor,4375,4167,0
tumor,3125,2500,0
tumor,156,1250,0
tumor,4844,4375,0
tumor,3594,3125,0
tumor,938,1042,0
tumor,2656,1250,0
tumor,3438,2083,0
lymphocyte,312,208,0
tumor,1719,2500,0
tumor,3594,2917,0
tumor,3906,4375,0
tumor,2812,2083,0
tumor,2188,2083,0
tumor,2344,1458,0
tumor,3906,3333,0
tumor,1719,1667,0
tumor,1250,833,0
tumor,2969,2917,0
lymphocyte,3281,2292,0
tumor,2969,1875,0
tumor,4062,4792,0
tumor,1250,1875,0
tumor,938,1250,0
tumor,3281,3542,0
tumor,469,1667,0
tumor,4531,4375,0
tumor,5000,5000,0
tumor,3438,4583,0
tumor,1875,1667,0
tumor,781,1458,0
tumor,3125,1667,0
tumor,4219,3125,0
tumor,938,833,0
tumor,1406,1250,0
tumor,3281,3333,0
tumor,3438,3542,0
tumor,469,1458,0
tumor,938,1458,0
tumor,2969,2708,0
tumor,1562,1250,0
tumor,2969,3125,0
tumor,3594,3333,0
tumor,4531,3750,0
tumor,3750,3958,0
tumor,4062,4167,0
tumor,3438,3333,0
tumor,3750,3750,0
tumor,2656,2083,0
