cell,x,y,stem
tumor,1087,641,0
tumor,3696,4615,0
lymphocyte,4565,4744,0
lymphocyte,4348,4872,0
lymphocyte,1739,1410,0
lymphocyte,435,1923,0
tumor,3261,769,0
lymphocyte,4565,128,0
lymphocyte,652,1154,0
tumor,3261,513,0
lymphocyte,1087,256,0
lymphocyte,4348,256,0
lymphocyte,1957,1923,0
tumor,3696,4231,0
tumor,2826,4231,0
tumor,4783,4615,0
lymphocyte,2826,1923,0
lymphocyte,217,513,0
lymphocyte,3043,2308,0
lymphocyte,652,3205,0
lymphocyte,3696,5000,0
lymphocyte,217,3205,0
lymphocyte,652,3590,0
lymphocyte,870,3590,0
lymphocyte,1087,2949,0
lymphocyte,435,2051,0
lymphocyte,652,3077,0
tumor,3913,3974,0
lymphocyte,2174,256,0
lymphocyte,2826,4872,0
lymphocyte,2826,3590,0
lymphocyte,0,385,0
tumor,3913,3846,0
tumor,3043,4103,0
lymphocyte,2174,2821,0
lymphocyte,4348,5000,0
lymphocyte,870,1923,0
lymphocyte,3913,3333,0
tumor,3261,4103,0
lymphocyte,3913,1795,0
lymphocyte,4130,1923,0
lymphocyte,2391,1923,0
lymphocyte,1087,2692,0
lymphocyte,3043,2179,0
lymphocyte,217,2821,0
lymphocyte,1957,4615,0
lymphocyte,1304,4359,0
tumor,2609,4487,0
lymphocyte,2826,3846,0
lymphocyte,217,897,0
tumor,3043,1282,0
tumor,2391,2821,0
tumor,1957,4359,0
lymphocyte,4130,4615,0
tumor,3478,1154,0
lymphocyte,1522,897,0
lymphocyte,1739,513,0
lymphocyte,4348,4744,0
tumor,3043,2821,0
tumor,0,1795,0
lymphocyte,0,1923,0
lymphocyte,1739,4359,0
lymphocyte,4130,3077,0
tumor,3478,4487,0
lymphocyte,4348,2436,0
lymphocyte,652,2436,0
lymphocyte,2609,4744,0
tumor,2391,4359,0
lymphocyte,2609,2436,0
tumor,3696,2692,0
tumor,435,1282,0
tumor,0,3205,0
lymphocyte,2391,1410,0
lymphocyte,2609,897,0
tumor,435,1667,0
tumor,3478,4359,0
tumor,4130,4359,0
tumor,3913,2436,0
lymphocyte,2391,1795,0
tumor,217,1923,0
tumor,2609,3205,0
tumor,1087,1410,0
tumor,3261,1923,0
tumor,3261,4487,0
lymphocyte,1957,1667,0
lymphocyte,1522,1410,0
lymphocyte,435,513,0
lymphocyte,3913,5000,0
tumor,2609,2821,0
lymphocyte,2391,4615,0
lymphocyte,2826,1154,0
lymphocyte,870,2821,0
lymphocyte,1304,2564,0
tumor,652,4103,0
lymphocyte,4783,3333,0
tumor,1957,2949,0
lymphocyte,870,385,0
lymphocyte,5000,3205,0
tumor,3478,3333,0
tumor,217,4231,0
tumor,1739,3974,0
lymphocyte,3043,3590,0
lymphocyte,2609,1923,0
lymphocyte,1087,1026,0
tumor,1739,2949,0
lymphocyte,3696,4872,0
lymphocyte,217,1154,0
tumor,1304,3333,0
tumor,2174,3462,0
lymphocyte,3696,3462,0
lymphocyte,4130,2692,0
tumor,0,2179,0
lymphocyte,4565,3590,0
tumor,3913,1410,0
lymphocyte,4565,4359,0
lymphocyte,4783,3846,0
lymphocyte,1522,2564,0
lymphocyte,4130,2821,0
lymphocyte,3043,4615,0
lymphocyte,1087,3077,0
lymphocyte,870,3333,0
lymphocyte,870,513,0
lymphocyte,0,3846,0
lymphocyte,4130,2179,0
