cell,x,y,stem
lymphocyte,4333,1875,0
lymphocyte,1333,0,0
lymphocyte,2000,2083,0
lymphocyte,1333,1250,0
tumor,1000,1458,0
lymphocyte,0,1667,0
tumor,1333,2083,0
lymphocyte,333,833,0
tumor,1333,1667,0
lymphocyte,1000,0,0
lymphocyte,3667,1042,0
lymphocyte,1000,625,0
tumor,1000,2083,0
lymphocyte,0,2292,0
lymphocyte,333,1875,0
lymphocyte,4000,1042,0
lymphocyte,4667,1667,0
lymphocyte,667,2292,0
tumor,3667,1875,0
tumor,1000,1875,0
tumor,3667,2083,0
lymphocyte,667,1458,0
lymphocyte,0,2083,0
tumor,1333,1458,0
lymphocyte,3000,1875,0
tumor,2333,1458,0
tumor,1667,2083,0
tumor,5000,1667,0
lymphocyte,333,2292,0
lymphocyte,333,1458,0
tumor,1000,833,0
lymphocyte,2667,1042,0
lymphocyte,4000,1250,0
tumor,1333,1875,0
lymphocyte,3333,1875,0
tumor,667,1250,0
lymphocyte,3333,1458,0
lymphocyte,1000,1250,0
tumor,3333,2083,0
lymphocyte,2333,1250,0
lymphocyte,333,2083,0
lymphocyte,2000,1875,0
lymphocyte,333,1042,0
lymphocyte,3667,1250,0
tumor,2000,1667,0
lymphocyte,1000,1042,0
tumor,667,1875,0
lymphocyte,0,1250,0
lymphocyte,4667,1458,0
lymphocyte,4667,2083,0
tumor,2667,1875,0
lymphocyte,1667,2292,0
lymphocyte,2667,1250,0
lymphocyte,0,833,0
lymphocyte,0,1042,0
lymphocyte,4667,1250,0
tumor,2333,2083,0
lymphocyte,667,1667,0
lymphocyte,667,833,0
lymphocyte,667,1042,0
tumor,2667,1458,0
tumor,4000,2083,0
lymphocyte,3667,1458,0
lymphocyte,2000,5000,0
tumor,4333,1667,0
tumor,667,2083,0
lymphocyte,333,625,0
lymphocyte,333,1667,0
tumor,2333,1875,0
lymphocyte,4333,2292,0
tumor,3000,2083,0
tumor,5000,1458,0
tumor,0,1458,0
tumor,4000,1875,0
lymphocyte,0,1875,0
tumor,2000,1042,0
lymphocyte,3667,1667,0
tumor,333,1250,0
tumor,4000,1667,0
lymphocyte,4333,2083,0
lymphocyte,4333,1250,0
lymphocyte,3667,2292,0
lymphocyte,2000,1250,0
lymphocyte,1667,1667,0
tumor,3000,1250,0
tumor,2667,2083,0
lymphocyte,5000,1875,0
tumor,1333,1042,0
lymphocyte,4333,1458,0
lymphocyte,667,625,0
lymphocyte,2333,1042,0
lymphocyte,1667,2500,0
tumor,1000,1667,0
lymphocyte,1333,833,0
tumor,1333,2500,0
tumor,1667,1458,0
tumor,1667,1875,0
lymphocyte,3000,1667,0
lymphocyte,2667,1667,0
lymphocyte,2667,3542,0
