cell,x,y,stem
tumor,1000,3571,0
tumor,4500,1429,0
tumor,3500,3571,0
tumor,250,0,0
tumor,3750,357,0
tumor,4000,3214,0
tumor,1500,3571,0
tumor,3250,357,0
tumor,2250,2500,0
tumor,2000,1786,0
tumor,2500,0,0
tumor,4500,3214,0
tumor,3000,2500,0
tumor,1000,2500,0
tumor,3750,1071,0
tumor,3500,1071,0
tumor,4250,3571,0
tumor,2500,1071,0
lymphocyte,250,2143,0
tumor,3000,4286,0
tumor,2500,357,0
tumor,250,714,0
tumor,2000,357,0
tumor,4250,2500,0
tumor,3500,357,0
tumor,3250,1429,0
tumor,2250,3929,0
tumor,250,1071,0
tumor,1250,1786,0
tumor,2250,3571,0
tumor,1250,0,0
tumor,1250,4286,0
tumor,3000,1429,0
tumor,1750,1071,0
lymphocyte,0,1071,0
tumor,2750,1429,0
tumor,4250,3214,0
tumor,1000,3214,0
tumor,1750,3929,0
tumor,1000,714,0
lymphocyte,0,714,0
lymphocyte,0,1786,0
tumor,2750,4643,0
tumor,2000,4286,0
tumor,4000,1429,0
tumor,4500,0,0
tumor,1750,0,0
tumor,4000,357,0
tumor,750,0,0
tumor,4250,1786,0
tumor,750,1071,0
tumor,2750,3929,0
tumor,2750,357,0
tumor,2000,3214,0
lymphocyte,1250,3571,0
tumor,2500,3214,0
tumor,250,1786,0
tumor,4750,2500,0
tumor,2500,1786,0
tumor,1750,2143,0
tumor,1250,1429,0
tumor,3750,4643,0
tumor,1250,2143,0
tumor,2250,1429,0
tumor,3750,714,0
tumor,2750,2500,0
tumor,5000,1429,0
tumor,750,2143,0
tumor,2250,2143,0
tumor,3000,2857,0
tumor,4000,714,0
tumor,750,3214,0
tumor,4750,0,0
tumor,1500,3214,0
tumor,0,1429,0
tumor,4250,1429,0
tumor,1500,0,0
tumor,3250,3929,0
tumor,250,3214,0
tumor,2000,3929,0
tumor,4000,1071,0
tumor,4250,1071,0
tumor,2750,0,0
tumor,3250,2857,0
tumor,3250,1786,0
tumor,4250,4286,0
tumor,2750,5000,0
tumor,1750,4286,0
tumor,2000,3571,0
tumor,4000,4643,0
tumor,1500,1786,0
tumor,750,1429,0
tumor,1500,1429,0
tumor,4250,357,0
tumor,4500,2857,0
tumor,3000,357,0
tumor,1000,2857,0
tumor,1750,2857,0
tumor,750,714,0
tumor,1500,1071,0
tumor,2250,4643,0
tumor,2000,1071,0
tumor,4500,3571,0
tumor,2500,4286,0
tumor,500,1786,0
tumor,2250,2857,0
tumor,1250,2857,0
tumor,2500,4643,0
tumor,2750,3571,0
tumor,500,1071,0
tumor,500,2857,0
tumor,3750,4286,0
tumor,2500,3929,0
tumor,3500,4643,0
tumor,3000,3214,0
tumor,1250,357,0
tumor,750,1786,0
tumor,4250,3929,0
tumor,1500,357,0
tumor,2750,4286,0
tumor,4000,0,0
tumor,3500,3214,0
tumor,3500,5000,0
tumor,1500,2857,0
tumor,2750,3214,0
tumor,1250,3929,0
tumor,1250,3214,0
tumor,4750,1429,0
tumor,5000,714,0
tumor,2750,714,0
tumor,3250,714,0
tumor,750,2500,0
tumor,4500,1071,0
tumor,3500,1429,0
tumor,4000,4286,0
tumor,2500,1429,0
tumor,3500,714,0
tumor,1250,1071,0
tumor,4500,2500,0
tumor,1750,1786,0
tumor,2250,357,0
tumor,1750,357,0
tumor,1000,1786,0
tumor,3250,3214,0
tumor,1250,714,0
tumor,2000,2143,0
tumor,0,2500,0
tumor,250,2500,0
tumor,2000,0,0
tumor,1750,714,0
tumor,500,2500,0
lymphocyte,500,3214,0
tumor,3000,4643,0
tumor,3750,0,0
tumor,4500,714,0
tumor,3000,5000,0
tumor,2000,4643,0
tumor,0,2143,0
tumor,3750,5000,0
tumor,1000,1071,0
tumor,2500,2143,0
tumor,750,357,0
lymphocyte,5000,1071,0
tumor,500,357,0
tumor,4500,357,0
tumor,2000,2500,0
tumor,1750,2500,0
tumor,3000,0,0
lymphocyte,3250,5000,0
tumor,1500,714,0
tumor,1000,0,0
tumor,750,3571,0
tumor,4750,714,0
tumor,4500,2143,0
tumor,3250,2500,0
tumor,4250,2857,0
tumor,3250,4643,0
tumor,3000,1786,0
tumor,1500,4286,0
tumor,0,2857,0
tumor,4750,1786,0
tumor,4250,0,0
tumor,2750,2143,0
tumor,2500,3571,0
tumor,1500,2500,0
tumor,2500,5000,0
tumor,2500,2500,0
tumor,3000,714,0
tumor,2500,714,0
tumor,3000,2143,0
tumor,1750,1429,0
tumor,1500,4643,0
tumor,4750,1071,0
tumor,500,714,0
tumor,500,2143,0
tumor,2250,0,0
tumor,3500,0,0
tumor,1500,3929,0
tumor,4500,1786,0
tumor,1000,2143,0
tumor,2250,3214,0
tumor,1750,3571,0
tumor,3500,3929,0
tumor,1000,1429,0
tumor,3500,2857,0
tumor,2750,1786,0
tumor,2000,2857,0
tumor,4250,2143,0
tumor,3250,1071,0
tumor,4000,3929,0
tumor,1000,357,0
tumor,1000,3929,0
tumor,2250,1786,0
tumor,2250,1071,0
tumor,250,2857,0
tumor,1750,3214,0
tumor,3250,0,0
lymphocyte,4000,3571,0
tumor,250,357,0
tumor,4000,5000,0
tumor,2500,2857,0
tumor,500,0,0
tumor,1250,2500,0
tumor,750,2857,0
tumor,2750,2857,0
tumor,2750,1071,0
tumor,4750,357,0
tumor,4750,2143,0
tumor,3000,3571,0
tumor,3000,3929,0
tumor,4250,714,0
tumor,3250,4286,0
tumor,1750,4643,0
tumor,250,1429,0
tumor,2000,1429,0
