cell,x,y,stem
tumor,667,1944,0
tumor,3333,833,0
tumor,1833,1944,0
lymphocyte,5000,556,0
lymphocyte,1500,833,0
lymphocyte,2167,3333,0
tumor,833,556,0
tumor,3667,1667,0
tumor,3833,4167,0
tumor,4333,1667,0
tumor,1333,4722,0
tumor,1500,3333,0
tumor,3000,556,0
tumor,5000,3889,0
tumor,500,1944,0
tumor,2167,1389,0
lymphocyte,1333,2778,0
lymphocyte,1500,2500,0
tumor,2667,3889,0
tumor,667,2222,0
lymphocyte,4833,556,0
tumor,1333,3889,0
tumor,333,2222,0
lymphocyte,3667,2222,0
tumor,1333,0,0
tumor,4833,1667,0
tumor,3833,556,0
lymphocyte,1500,4167,0
tumor,5000,5000,0
tumor,167,3056,0
tumor,2500,3333,0
tumor,3500,1667,0
tumor,3667,3333,0
tumor,167,3333,0
lymphocyte,3333,1111,0
lymphocyte,1000,556,0
tumor,3167,2222,0
tumor,1167,1111,0
tumor,3000,1944,0
tumor,500,3333,0
tumor,3833,2222,0
tumor,3167,556,0
lymphocyte,2667,1944,0
lymphocyte,4000,1389,0
tumor,3500,4167,0
lymphocyte,2167,833,0
tumor,2667,278,0
tumor,833,3611,0
tumor,3667,1944,0
tumor,833,3889,0
tumor,2000,2222,0
tumor,500,4167,0
tumor,167,2500,0
tumor,667,2500,0
tumor,1000,3056,0
tumor,1833,278,0
tumor,2000,3889,0
tumor,2333,2500,0
tumor,0,1389,0
tumor,3000,278,0
tumor,4000,1667,0
lymphocyte,4667,1111,0
tumor,833,1944,0
tumor,1000,4444,0
lymphocyte,1500,2778,0
tumor,1500,1944,0
tumor,1333,2222,0
tumor,4000,556,0
tumor,3333,2500,0
tumor,2833,1111,0
lymphocyte,1333,2500,0
lymphocyte,4333,1111,0
tumor,1833,1111,0
tumor,2167,1111,0
tumor,3167,2500,0
lymphocyte,2000,3333,0
lymphocyte,667,1111,0
tumor,3000,3333,0
tumor,3333,1944,0
tumor,3833,3611,0
tumor,3833,1389,0
lymphocyte,2500,1667,0
tumor,3500,1389,0
tumor,1500,4722,0
tumor,3500,1111,0
tumor,1333,1389,0
tumor,3667,1111,0
lymphocyte,4000,278,0
tumor,167,1389,0
tumor,2833,1667,0
tumor,1833,2222,0
tumor,1500,1667,0
tumor,2000,2778,0
tumor,1500,3056,0
tumor,4167,833,0
tumor,500,1389,0
tumor,1667,2778,0
tumor,3833,1111,0
lymphocyte,1333,4444,0
tumor,1833,1389,0
tumor,1667,3333,0
tumor,2500,3056,0
tumor,333,1944,0
lymphocyte,2167,3056,0
lymphocyte,3833,2778,0
tumor,1000,1111,0
tumor,3667,833,0
tumor,167,1944,0
tumor,4333,3611,0
lymphocyte,1167,4167,0
tumor,1333,1667,0
