cell,x,y,stem
lymphocyte,18,89,0
tumor,39,48,0
tumor,39,49,0
tumor,39,51,0
tumor,40,45,0
tumor,40,49,0
tumor,40,50,0
tumor,40,51,0
tumor,40,52,0
tumor,41,45,0
tumor,41,46,0
tumor,41,48,0
tumor,41,50,0
tumor,42,45,0
tumor,42,46,0
tumor,42,47,0
tumor,42,48,0
tumor,42,49,0
tumor,42,50,0
tumor,42,51,0
tumor,42,52,0
tumor,42,53,0
tumor,43,45,0
tumor,43,46,0
tumor,43,48,0
tumor,43,49,0
tumor,43,50,0
tumor,43,51,0
tumor,43,52,0
tumor,43,53,0
tumor,43,54,0
tumor,43,56,0
tumor,43,57,0
tumor,44,43,0
tumor,44,44,0
tumor,44,45,0
tumor,44,46,0
tumor,44,47,0
tumor,44,50,0
tumor,44,51,0
tumor,44,54,0
tumor,45,44,0
tumor,45,45,0
tumor,45,46,0
tumor,45,47,0
tumor,45,48,0
tumor,45,49,0
tumor,45,50,0
tumor,45,51,0
tumor,45,52,0
tumor,45,53,0
tumor,45,54,0
tumor,46,43,0
tumor,46,44,0
tumor,46,45,0
tumor,46,46,0
tumor,46,47,0
tumor,46,48,0
tumor,46,51,0
tumor,46,53,0
lymphocyte,46,55,0
tumor,46,57,0
lymphocyte,46,58,0
tumor,47,43,0
tumor,47,44,0
tumor,47,49,0
tumor,47,50,0
tumor,47,51,0
tumor,47,52,0
tumor,47,53,0
tumor,47,57,0
tumor,47,58,0
tumor,47,59,0
tumor,48,43,0
tumor,48,44,0
tumor,48,45,0
tumor,48,47,0
tumor,48,50,0
tumor,48,52,0
tumor,48,56,0
tumor,48,58,0
tumor,48,59,0
tumor,49,43,0
tumor,49,44,0
tumor,49,46,0
tumor,49,47,0
tumor,49,48,0
tumor,49,50,0
tumor,49,56,0
tumor,49,58,0
tumor,50,43,0
tumor,50,44,0
tumor,50,45,0
tumor,50,46,0
tumor,50,47,0
tumor,50,48,0
tumor,50,50,0
tumor,50,51,0
tumor,50,56,0
tumor,50,57,0
tumor,51,42,0
tumor,51,45,0
tumor,51,46,0
tumor,51,47,0
tumor,51,48,0
tumor,51,49,0
tumor,51,50,0
tumor,51,51,0
tumor,51,54,0
tumor,51,56,0
tumor,51,57,0
tumor,52,45,0
tumor,52,46,0
tumor,52,47,0
tumor,52,48,0
tumor,52,49,0
tumor,52,50,0
tumor,52,57,0
tumor,52,58,0
tumor,52,62,0
tumor,52,63,0
tumor,53,42,0
tumor,53,46,0
tumor,53,47,0
tumor,53,48,0
tumor,53,49,0
tumor,53,53,0
tumor,53,54,0
tumor,53,56,0
tumor,53,62,0
tumor,53,63,0
tumor,54,43,0
tumor,54,44,0
tumor,54,46,0
tumor,54,47,0
tumor,54,48,0
tumor,54,49,0
tumor,54,50,0
tumor,54,59,0
tumor,54,63,0
tumor,55,44,0
tumor,55,45,0
tumor,55,46,0
tumor,55,47,0
tumor,55,48,0
tumor,55,49,0
tumor,55,55,0
tumor,55,56,0
tumor,55,59,0
tumor,55,60,0
tumor,56,44,0
tumor,56,45,0
tumor,56,46,0
tumor,56,47,0
tumor,56,48,0
tumor,56,53,0
tumor,56,62,0
tumor,57,43,0
tumor,57,44,0
tumor,57,45,0
tumor,57,46,0
tumor,57,47,0
tumor,57,48,0
tumor,57,49,0
tumor,57,50,0
tumor,57,51,0
tumor,57,53,0
tumor,57,58,0
tumor,57,60,0
tumor,57,61,0
tumor,58,44,0
tumor,58,45,0
tumor,58,46,0
tumor,58,47,0
tumor,58,48,0
tumor,58,49,0
lymphocyte,58,50,0
tumor,58,51,0
tumor,58,52,0
tumor,58,53,0
tumor,58,54,0
tumor,58,57,0
tumor,58,58,0
tumor,58,61,0
tumor,58,64,0
lymphocyte,59,50,0
tumor,59,51,0
tumor,59,52,0
tumor,59,53,0
tumor,59,54,0
tumor,59,55,0
tumor,59,56,0
tumor,59,57,0
tumor,59,63,0
tumor,60,49,0
tumor,60,50,0
tumor,60,52,0
tumor,60,53,0
tumor,60,55,0
tumor,60,56,0
tumor,61,49,0
tumor,61,50,0
tumor,61,51,0
tumor,61,52,0
tumor,61,55,0
tumor,61,56,0
tumor,61,59,0
tumor,61,60,0
tumor,62,50,0
tumor,62,51,0
tumor,62,52,0
tumor,62,55,0
tumor,63,49,0
tumor,63,50,0
lymphocyte,67,72,0
