cell,x,y,stem
tumor,0,0,0
tumor,0,1,0
tumor,0,2,0
tumor,0,3,0
tumor,0,4,0
tumor,0,5,0
tumor,0,6,0
tumor,0,7,0
tumor,0,8,0
tumor,0,9,0
tumor,0,10,0
tumor,0,11,0
tumor,0,12,0
tumor,0,13,0
tumor,0,14,0
tumor,0,15,0
tumor,0,16,0
tumor,0,17,0
tumor,0,18,0
tumor,0,19,0
tumor,0,20,0
tumor,0,21,0
tumor,0,22,0
tumor,0,23,0
tumor,0,24,0
tumor,0,25,0
tumor,0,26,0
tumor,0,27,0
tumor,0,28,0
tumor,0,29,0
tumor,0,30,0
tumor,0,31,0
tumor,0,32,0
tumor,0,33,0
tumor,0,34,0
tumor,0,35,0
tumor,0,36,0
tumor,0,37,0
tumor,0,38,0
lymphocyte,0,39,0
lymphocyte,0,40,0
lymphocyte,0,41,0
lymphocyte,0,42,0
lymphocyte,0,43,0
lymphocyte,0,44,0
lymphocyte,0,45,0
lymphocyte,0,46,0
lymphocyte,0,47,0
lymphocyte,0,48,0
lymphocyte,0,49,0
tumor,0,61,0
tumor,0,62,0
tumor,0,63,0
tumor,0,64,0
tumor,0,65,0
tumor,0,66,0
tumor,0,67,0
tumor,0,68,0
tumor,0,69,0
tumor,0,70,0
tumor,0,71,0
tumor,0,72,0
tumor,0,73,0
tumor,0,74,0
tumor,0,75,0
tumor,0,76,0
tumor,0,77,0
tumor,0,78,0
tumor,0,79,0
tumor,0,80,0
tumor,0,81,0
tumor,0,82,0
tumor,0,83,0
tumor,0,84,0
tumor,0,85,0
tumor,0,86,0
tumor,0,87,0
tumor,0,88,0
tumor,0,89,0
tumor,0,90,0
tumor,0,91,0
tumor,0,92,0
tumor,0,93,0
tumor,0,94,0
tumor,1,0,0
tumor,1,1,0
tumor,1,2,0
tumor,1,3,0
tumor,1,4,0
tumor,1,5,0
tumor,1,6,0
tumor,1,7,0
tumor,1,8,0
tumor,1,9,0
tumor,1,10,0
tumor,1,11,0
tumor,1,12,0
tumor,1,13,0
tumor,1,14,0
tumor,1,15,0
tumor,1,16,0
tumor,1,17,0
tumor,1,18,0
tumor,1,19,0
tumor,1,20,0
tumor,1,21,0
tumor,1,22,0
tumor,1,23,0
tumor,1,24,0
tumor,1,25,0
tumor,1,26,0
tumor,1,27,0
tumor,1,28,0
tumor,1,29,0
tumor,1,30,0
tumor,1,31,0
tumor,1,32,0
tumor,1,33,0
tumor,1,34,0
tumor,1,35,0
tumor,1,36,0
tumor,1,37,0
tumor,1,38,0
lymphocyte,1,39,0
lymphocyte,1,40,0
lymphocyte,1,41,0
lymphocyte,1,42,0
lymphocyte,1,43,0
lymphocyte,1,44,0
lymphocyte,1,45,0
lymphocyte,1,46,0
lymphocyte,1,47,0
lymphocyte,1,48,0
lymphocyte,1,49,0
tumor,1,61,0
tumor,1,62,0
tumor,1,63,0
tumor,1,64,0
tumor,1,65,0
tumor,1,66,0
tumor,1,67,0
tumor,1,68,0
tumor,1,69,0
tumor,1,70,0
tumor,1,71,0
tumor,1,72,0
tumor,1,73,0
tumor,1,74,0
tumor,1,75,0
tumor,1,76,0
tumor,1,77,0
tumor,1,78,0
tumor,1,79,0
tumor,1,80,0
