cell,x,y,stem
tumor,0,96,0
tumor,0,97,0
tumor,0,98,0
tumor,0,99,0
tumor,1,96,0
tumor,1,97,0
tumor,1,98,0
tumor,1,99,0
tumor,2,96,0
tumor,2,97,0
tumor,2,98,0
tumor,2,99,0
tumor,3,0,0
tumor,3,1,0
tumor,3,2,0
tumor,3,3,0
tumor,3,4,0
tumor,3,5,0
tumor,3,6,0
tumor,3,7,0
tumor,3,8,0
tumor,3,9,0
tumor,3,10,0
tumor,3,11,0
tumor,3,12,0
lymphocyte,3,13,0
lymphocyte,3,14,0
lymphocyte,3,15,0
lymphocyte,3,16,0
lymphocyte,3,17,0
lymphocyte,3,18,0
lymphocyte,3,19,0
lymphocyte,3,20,0
lymphocyte,3,21,0
lymphocyte,3,22,0
lymphocyte,3,23,0
lymphocyte,3,24,0
lymphocyte,3,25,0
lymphocyte,3,26,0
lymphocyte,3,27,0
lymphocyte,3,28,0
lymphocyte,3,29,0
lymphocyte,3,30,0
lymphocyte,3,31,0
lymphocyte,3,32,0
tumor,3,54,0
tumor,3,55,0
tumor,3,56,0
tumor,3,57,0
tumor,3,58,0
tumor,3,59,0
tumor,3,60,0
tumor,3,61,0
tumor,3,62,0
tumor,3,63,0
tumor,3,64,0
tumor,3,65,0
tumor,3,66,0
tumor,3,67,0
tumor,3,68,0
tumor,3,69,0
tumor,3,70,0
tumor,3,71,0
tumor,3,72,0
tumor,3,73,0
tumor,3,74,0
tumor,3,96,0
tumor,3,97,0
tumor,3,98,0
tumor,3,99,0
tumor,4,0,0
tumor,4,1,0
tumor,4,2,0
tumor,4,3,0
tumor,4,4,0
tumor,4,5,0
tumor,4,6,0
tumor,4,7,0
tumor,4,8,0
tumor,4,9,0
tumor,4,10,0
tumor,4,11,0
tumor,4,12,0
lymphocyte,4,13,0
lymphocyte,4,14,0
lymphocyte,4,15,0
lymphocyte,4,16,0
lymphocyte,4,17,0
lymphocyte,4,18,0
lymphocyte,4,19,0
lymphocyte,4,20,0
lymphocyte,4,21,0
lymphocyte,4,22,0
lymphocyte,4,23,0
lymphocyte,4,24,0
lymphocyte,4,25,0
lymphocyte,4,26,0
lymphocyte,4,27,0
lymphocyte,4,28,0
lymphocyte,4,29,0
lymphocyte,4,30,0
lymphocyte,4,31,0
lymphocyte,4,32,0
tumor,4,54,0
tumor,4,55,0
tumor,4,56,0
tumor,4,57,0
tumor,4,58,0
tumor,4,59,0
tumor,4,60,0
tumor,4,61,0
tumor,4,62,0
tumor,4,63,0
tumor,4,64,0
tumor,4,65,0
tumor,4,66,0
tumor,4,67,0
tumor,4,68,0
tumor,4,69,0
tumor,4,70,0
tumor,4,71,0
tumor,4,72,0
tumor,4,73,0
tumor,4,74,0
tumor,4,96,0
tumor,4,97,0
tumor,4,98,0
tumor,4,99,0
tumor,5,0,0
tumor,5,1,0
tumor,5,2,0
tumor,5,3,0
tumor,5,4,0
tumor,5,5,0
tumor,5,6,0
tumor,5,7,0
tumor,5,8,0
tumor,5,9,0
tumor,5,10,0
tumor,5,11,0
tumor,5,12,0
lymphocyte,5,13,0
lymphocyte,5,14,0
lymphocyte,5,15,0
lymphocyte,5,16,0
lymphocyte,5,17,0
lymphocyte,5,18,0
lymphocyte,5,19,0
lymphocyte,5,20,0
lymphocyte,5,21,0
lymphocyte,5,22,0
lymphocyte,5,23,0
lymphocyte,5,24,0
lymphocyte,5,25,0
lymphocyte,5,26,0
lymphocyte,5,27,0
