cell,x,y,stem
lymphocyte,0,67,0
lymphocyte,0,68,0
lymphocyte,0,69,0
lymphocyte,0,70,0
lymphocyte,0,71,0
lymphocyte,0,72,0
lymphocyte,0,73,0
lymphocyte,0,74,0
lymphocyte,0,75,0
lymphocyte,0,76,0
lymphocyte,0,77,0
lymphocyte,0,78,0
lymphocyte,1,67,0
lymphocyte,1,68,0
lymphocyte,1,69,0
lymphocyte,1,70,0
lymphocyte,1,71,0
lymphocyte,1,72,0
lymphocyte,1,73,0
lymphocyte,1,74,0
lymphocyte,1,75,0
lymphocyte,1,76,0
lymphocyte,1,77,0
lymphocyte,1,78,0
lymphocyte,2,29,0
lymphocyte,2,30,0
lymphocyte,2,31,0
lymphocyte,2,32,0
lymphocyte,2,33,0
lymphocyte,2,34,0
lymphocyte,2,35,0
lymphocyte,2,36,0
lymphocyte,2,37,0
lymphocyte,2,38,0
lymphocyte,2,39,0
lymphocyte,2,40,0
lymphocyte,2,41,0
lymphocyte,2,42,0
lymphocyte,2,43,0
lymphocyte,2,44,0
lymphocyte,2,45,0
lymphocyte,2,46,0
lymphocyte,2,47,0
lymphocyte,2,48,0
lymphocyte,2,49,0
lymphocyte,2,50,0
lymphocyte,2,51,0
lymphocyte,2,52,0
lymphocyte,2,53,0
lymphocyte,2,54,0
lymphocyte,2,55,0
lymphocyte,2,56,0
lymphocyte,2,57,0
lymphocyte,2,58,0
lymphocyte,2,59,0
lymphocyte,2,60,0
lymphocyte,2,61,0
lymphocyte,2,62,0
lymphocyte,2,63,0
lymphocyte,2,64,0
lymphocyte,2,65,0
lymphocyte,2,66,0
lymphocyte,2,67,0
lymphocyte,2,68,0
lymphocyte,2,69,0
lymphocyte,2,70,0
lymphocyte,2,71,0
lymphocyte,2,72,0
lymphocyte,2,73,0
lymphocyte,2,74,0
lymphocyte,2,75,0
lymphocyte,2,76,0
lymphocyte,2,77,0
lymphocyte,2,78,0
lymphocyte,2,79,0
lymphocyte,2,80,0
lymphocyte,2,81,0
lymphocyte,2,82,0
lymphocyte,2,83,0
lymphocyte,2,84,0
lymphocyte,2,85,0
lymphocyte,2,86,0
lymphocyte,2,87,0
lymphocyte,2,88,0
lymphocyte,2,89,0
lymphocyte,2,90,0
lymphocyte,3,29,0
lymphocyte,3,30,0
lymphocyte,3,31,0
lymphocyte,3,32,0
lymphocyte,3,33,0
lymphocyte,3,34,0
lymphocyte,3,35,0
lymphocyte,3,36,0
lymphocyte,3,37,0
lymphocyte,3,38,0
lymphocyte,3,39,0
lymphocyte,3,40,0
lymphocyte,3,41,0
lymphocyte,3,42,0
lymphocyte,3,43,0
lymphocyte,3,44,0
lymphocyte,3,45,0
lymphocyte,3,46,0
lymphocyte,3,47,0
lymphocyte,3,48,0
lymphocyte,3,49,0
lymphocyte,3,50,0
lymphocyte,3,51,0
lymphocyte,3,52,0
lymphocyte,3,53,0
lymphocyte,3,54,0
lymphocyte,3,55,0
lymphocyte,3,56,0
lymphocyte,3,57,0
lymphocyte,3,58,0
lymphocyte,3,59,0
lymphocyte,3,60,0
lymphocyte,3,61,0
lymphocyte,3,62,0
lymphocyte,3,63,0
