TUpprol,IDX
0.1,0
0.1,63
0.1,64
0.1,127
0.1,128
0.1,255
0.1,256
0.1,319
0.1,383
0.1,384
0.1,448
0.1,511
0.1,512
0.1,575
0.1,639
0.1,640
0.1,704
0.1,767
0.1,768
0.1,831
0.1,895
0.1,896
0.1,959
0.1,960
0.1,192
0.2,3
0.2,60
0.2,67
0.2,124
0.2,131
0.2,195
0.2,252
0.2,259
0.2,316
0.2,380
0.2,387
0.2,451
0.2,508
0.2,515
0.2,572
0.2,636
0.2,643
0.2,707
0.2,764
0.2,771
0.2,828
0.2,892
0.2,899
0.2,956
0.2,963
0.3,1
0.3,62
0.3,65
0.3,126
0.3,129
0.3,193
0.3,254
0.3,257
0.3,318
0.3,382
0.3,385
0.3,449
0.3,510
0.3,513
0.3,574
0.3,638
0.3,641
0.3,705
0.3,766
0.3,769
0.3,830
0.3,894
0.3,897
0.3,958
0.3,961
0.4,2
0.4,61
0.4,66
0.4,125
0.4,130
0.4,194
0.4,253
0.4,258
0.4,317
0.4,381
0.4,386
0.4,450
0.4,509
0.4,514
0.4,573
0.4,637
0.4,642
0.4,706
0.4,765
0.4,770
0.4,829
0.4,893
0.4,898
0.4,957
0.4,962
0.5,42
0.5,85
0.5,106
0.5,149
0.5,170
0.5,213
0.5,298
0.5,341
0.5,362
0.5,405
0.5,426
0.5,469
0.5,554
0.5,597
0.5,618
0.5,661
0.5,682
0.5,725
0.5,746
0.5,810
0.5,853
0.5,874
0.5,917
0.5,938
0.5,981
