file,filled_ratio,n_tumor,n_lymph,immune subtype
TCGA-BF-A1PV-01A-01-TSA_patch=1,0.85010139,4872,3619,D
TCGA-BF-A1PZ-01A-01-TSA_patch=1,0.92613264,8382,868,D
TCGA-BF-A5EP-01A-01-TSA_patch=1,0.81579792,6593,1526,D
TCGA-BF-A5EP-01A-01-TSA_patch=2,0.92888889,7746,1492,D
TCGA-BF-A5ER-01A-01-TS1_patch=1,0.81842361,3193,4898,D
TCGA-BF-A9VF-01A-01-TS1_patch=1,0.8327875,5646,2554,D
TCGA-BF-AAP0-06A-01-TS1_patch=1,0.81274375,976,7140,IE
TCGA-BF-AAP0-06A-01-TS1_patch=2,0.87522847,1864,6839,IE
TCGA-BF-AAP1-01A-01-TSA_patch=1,0.95530278,9450,126,D
TCGA-BF-AAP2-01A-01-TS1_patch=1,0.94906181,4295,5119,IE
TCGA-BF-AAP4-01A-01-TS1_patch=1,0.85720417,6422,2112,IE
TCGA-BF-AAP6-01A-01-TS1_patch=1,0.81617847,8048,121,D
TCGA-BF-AAP6-01A-01-TS1_patch=2,0.954125,9260,260,D
TCGA-D3-A1Q3-06A-01-TSA_patch=1,0.93812292,150,9242,IE
TCGA-D3-A1Q3-06A-01-TSA_patch=2,0.90847847,408,8703,IE
TCGA-D3-A1Q3-06A-01-TSA_patch=3,0.97035625,60,9618,IE
TCGA-D3-A1Q5-06A-01-TS1_patch=1,0.97791667,4088,5658,D
TCGA-D3-A1Q6-06A-01-TSA_patch=1,0.86661181,2076,6550,D
TCGA-D3-A1Q6-06A-01-TSA_patch=2,0.89963264,300,8693,D
TCGA-D3-A1Q9-06A-01-TSA_patch=1,0.80495486,1827,6179,D
TCGA-D3-A1QB-06A-01-TSA_patch=1,0.88853056,1200,7641,IE
TCGA-D3-A2JD-06A-01-TSA_patch=1,0.89558333,5294,3652,D
TCGA-D3-A2JD-06A-01-TSA_patch=2,0.83805278,7219,1104,D
TCGA-D3-A2JD-06A-01-TSA_patch=3,0.83976597,7734,637,D
TCGA-D3-A2JH-06A-01-TSA_patch=1,0.94278333,629,8781,IE
TCGA-D3-A2JL-06A-01-TS1_patch=1,0.85564722,377,8153,IE
TCGA-D3-A2JL-06A-01-TS1_patch=2,0.82579514,65,8171,IE
TCGA-D3-A2JL-06A-01-TS1_patch=3,0.84252361,369,8044,IE
TCGA-D3-A3C3-06A-01-TSA_patch=1,0.98322431,2952,6816,D
TCGA-D3-A3C3-06A-01-TSA_patch=2,0.98768681,4549,5291,D
TCGA-D3-A3C6-06A-01-TSA_patch=1,0.8277125,5846,2377,D
TCGA-D3-A3CF-06A-01-TS1_patch=1,0.96220833,3978,5601,IE
TCGA-D3-A3MO-06A-01-TSA_patch=1,0.93151944,2189,6953,D
TCGA-D3-A3MV-06A-01-TSA_patch=1,0.98915833,8168,1705,D
TCGA-D3-A51E-06A-01-TSA_patch=1,0.91277778,5052,4093,IE
TCGA-D3-A51E-06A-01-TSA_patch=2,0.86088819,4394,4187,IE
TCGA-D3-A51T-06A-01-TS1_patch=1,0.87319653,2565,6081,IE
TCGA-D3-A5GN-06A-01-TS1_patch=1,0.90063958,6867,2092,D
TCGA-D3-A5GO-06A-01-TS1_patch=1,0.94213403,2008,7376,D
TCGA-D3-A5GT-01A-01-TS1_patch=1,0.80062917,7820,153,D
TCGA-D3-A8GD-06A-01-TSA_patch=1,0.85306458,4850,3671,IE
TCGA-D3-A8GL-06A-01-TS1_patch=1,0.85819167,7769,820,D
TCGA-D3-A8GL-06A-01-TS1_patch=2,0.84688472,7414,1028,D
TCGA-D3-A8GL-06A-01-TS1_patch=3,0.90439722,8208,816,D
TCGA-D3-A8GM-06A-01-TSA_patch=1,0.93335972,1781,7568,IE
TCGA-D3-A8GM-06A-01-TSA_patch=2,0.98941389,3993,5799,IE
TCGA-D3-A8GP-06A-01-TSA_patch=1,0.85271319,7143,1328,D
TCGA-D3-A8GP-06A-01-TSA_patch=2,0.934725,6370,2901,D
TCGA-D3-A8GP-06A-01-TSA_patch=3,0.81268542,7297,827,D
TCGA-D3-A8GQ-06A-01-TS1_patch=1,0.82698333,813,7422,D
TCGA-D3-A8GQ-06A-01-TS1_patch=2,0.85043403,1151,7343,D
