cell,x,y,stem
lymphocyte,45,54,0
lymphocyte,46,52,0
tumor,46,53,0
lymphocyte,46,55,0
lymphocyte,47,50,0
lymphocyte,47,53,0
lymphocyte,47,55,0
lymphocyte,48,51,0
lymphocyte,48,53,0
lymphocyte,48,55,0
lymphocyte,49,52,0
lymphocyte,49,55,0
tumor,50,46,0
lymphocyte,50,50,0
lymphocyte,50,52,0
lymphocyte,50,54,0
tumor,50,55,0
lymphocyte,50,57,0
tumor,51,47,0
tumor,51,50,0
lymphocyte,51,51,0
lymphocyte,51,52,0
tumor,51,55,0
lymphocyte,51,56,0
tumor,52,50,0
lymphocyte,52,51,0
lymphocyte,52,52,0
lymphocyte,52,53,0
lymphocyte,52,54,0
lymphocyte,52,55,0
lymphocyte,52,56,0
lymphocyte,53,51,0
lymphocyte,53,52,0
lymphocyte,53,54,0
lymphocyte,53,55,0
lymphocyte,53,56,0
lymphocyte,54,50,0
lymphocyte,54,52,0
lymphocyte,54,54,0
lymphocyte,55,50,0
lymphocyte,55,51,0
lymphocyte,55,53,0
lymphocyte,55,54,0
tumor,55,55,0
tumor,56,52,0
tumor,56,53,0
tumor,56,54,0
lymphocyte,56,55,0
lymphocyte,57,55,0
tumor,57,57,0
tumor,57,58,0
tumor,58,48,0
tumor,45,52,0
tumor,45,53,0
tumor,46,51,0
tumor,46,54,0
tumor,47,51,0
tumor,47,52,0
tumor,47,54,0
tumor,48,48,0
tumor,48,49,0
tumor,48,50,0
tumor,48,52,0
tumor,48,54,0
tumor,49,46,0
tumor,49,47,0
tumor,49,48,0
tumor,49,49,0
tumor,49,50,0
tumor,49,51,0
tumor,49,53,0
tumor,49,54,0
tumor,50,45,0
tumor,50,47,0
tumor,50,48,0
tumor,50,49,0
tumor,50,51,0
tumor,50,53,0
tumor,50,56,0
tumor,51,46,0
tumor,51,48,0
tumor,51,49,0
tumor,51,53,0
tumor,51,54,0
tumor,52,46,0
tumor,52,47,0
tumor,52,48,0
tumor,52,49,0
tumor,53,47,0
tumor,53,48,0
tumor,53,49,0
tumor,53,50,0
tumor,53,53,0
tumor,54,47,0
tumor,54,48,0
tumor,54,49,0
tumor,54,51,0
tumor,54,53,0
tumor,54,55,0
tumor,54,56,0
tumor,54,57,0
tumor,55,47,0
tumor,55,48,0
tumor,55,49,0
tumor,55,52,0
tumor,55,56,0
tumor,55,57,0
tumor,56,47,0
tumor,56,48,0
tumor,56,49,0
tumor,56,50,0
tumor,56,51,0
tumor,56,56,0
tumor,56,57,0
tumor,56,58,0
tumor,57,47,0
tumor,57,48,0
tumor,57,49,0
tumor,57,50,0
tumor,57,51,0
tumor,57,52,0
tumor,57,53,0
tumor,57,54,0
tumor,57,56,0
tumor,58,47,0
tumor,58,49,0
tumor,58,50,0
tumor,58,51,0
tumor,58,52,0
tumor,58,53,0
tumor,58,54,0
tumor,58,55,0
tumor,58,57,0
tumor,58,58,0
tumor,59,47,0
tumor,59,48,0
tumor,59,49,0
