sample,neighbor_cell_type,mean (training),mean (reconstruction)
0,tumor,7.677297297297297,7.62010520163647
0,lymphocyte,0.08364864864864865,0.16744593804792518
1,tumor,7.320109856576137,7.171160254468343
1,lymphocyte,0.5062557216966738,0.6167827930930021
2,tumor,7.401199717713479,7.331331331331332
2,lymphocyte,0.3089273112208892,0.45965965965965966
3,tumor,7.833333333333333,7.816167159138877
3,lymphocyte,0.02545416138572032,0.03408611228366399
4,tumor,7.374935533780299,6.982658959537572
4,lymphocyte,0.5317173800928313,0.7379576107899807
5,tumor,7.136298421807748,5.442758620689655
5,lymphocyte,0.47919655667144906,1.456551724137931
6,tumor,7.681484502446982,7.683525708289611
6,lymphocyte,0.1449836867862969,0.17250786988457503
7,tumor,7.653759333217573,7.6048184708047515
7,lymphocyte,0.19100538287897204,0.21716580224192739
8,tumor,6.526315789473684,4.072131147540984
8,lymphocyte,1.3631578947368421,2.380327868852459
9,tumor,7.543415340086831,7.122547204738986
9,lymphocyte,0.24710564399421128,0.5346168085894113
10,tumor,7.397021764032074,7.323076923076923
10,lymphocyte,0.36815578465063004,0.43565323565323566
11,tumor,6.809523809523809,3.4932432432432434
11,lymphocyte,0.8253968253968254,1.8547297297297298
12,tumor,7.832580261593341,7.785111844517785
12,lymphocyte,0.04922711058263971,0.09998777655543332
13,tumor,7.758424299952539,7.728262141603277
13,lymphocyte,0.09515899383009017,0.09619660620245758
14,tumor,7.83543279787357,7.824514884898156
14,lymphocyte,0.00508494163873801,0.054115945522478004
15,tumor,7.492323439099284,7.4297583081570995
15,lymphocyte,0.25827362674855,0.35876132930513593
16,tumor,7.704383561643835,7.6918941858820205
16,lymphocyte,0.12082191780821917,0.14995048804639977
17,tumor,6.675039246467818,5.0476190476190474
17,lymphocyte,0.9309262166405023,1.5614035087719298
18,tumor,7.744801244871976,7.618686131386862
18,lymphocyte,0.10892629792049795,0.20686131386861314
19,tumor,7.29646497505964,7.2502933124755575
19,lymphocyte,0.5571459553242247,0.5242471646460696
20,tumor,7.749324324324324,7.731755860238833
20,lymphocyte,0.08772522522522523,0.09199469261388767
21,tumor,7.7871828521434825,7.767320557886381
21,lymphocyte,0.016185476815398076,0.05839664361038666
22,tumor,7.403373493975904,6.81781737193764
