sample,neighbor_cell_type,mean (training),mean (reconstruction)
0,tumor,7.590033975084938,7.47209653092006
0,lymphocyte,0.02944507361268403,0.049773755656108594
1,tumor,7.510887772194305,7.282926829268293
1,lymphocyte,0.04355108877721943,0.15853658536585366
2,tumor,7.606635071090047,7.474548440065681
2,lymphocyte,0.027251184834123223,0.09688013136288999
3,tumor,7.509872241579559,7.491143317230274
3,lymphocyte,0.11846689895470383,0.143317230273752
4,tumor,7.443137254901961,7.3352941176470585
4,lymphocyte,0.045098039215686274,0.058823529411764705
5,tumor,7.591836734693878,7.394160583941606
5,lymphocyte,0.0,0.16605839416058393
6,tumor,7.491408934707904,7.193717277486911
6,lymphocyte,0.044673539518900345,0.31151832460732987
7,tumor,7.556805399325085,7.462109955423477
7,lymphocyte,0.0719910011248594,0.09658246656760773
8,tumor,7.1345029239766085,6.951871657754011
8,lymphocyte,0.22807017543859648,0.13903743315508021
9,tumor,6.877828054298643,6.704545454545454
9,lymphocyte,0.3167420814479638,0.2159090909090909
10,tumor,7.417366946778712,7.443809523809524
10,lymphocyte,0.16666666666666666,0.05904761904761905
11,tumor,7.496644295302014,7.312820512820513
11,lymphocyte,0.03523489932885906,0.1794871794871795
12,tumor,7.303664921465969,7.132743362831858
12,lymphocyte,0.12041884816753927,0.19911504424778761
13,tumor,7.545571245186136,7.419962335216573
13,lymphocyte,0.059050064184852376,0.09981167608286252
14,tumor,7.529274004683841,7.435897435897436
14,lymphocyte,0.10421545667447307,0.14743589743589744
15,tumor,7.498630136986302,7.434615384615385
15,lymphocyte,0.07945205479452055,0.11730769230769231
16,tumor,7.462986198243413,7.4212454212454215
16,lymphocyte,0.18318695106649938,0.1978021978021978
17,tumor,7.398601398601398,7.463414634146342
17,lymphocyte,0.23076923076923078,0.07967479674796749
18,tumor,7.2064516129032254,7.0
18,lymphocyte,0.12258064516129032,0.0875
19,tumor,7.264367816091954,7.113043478260869
19,lymphocyte,0.11494252873563218,0.11304347826086956
20,tumor,7.4581430745814306,7.336263736263736
20,lymphocyte,0.1080669710806697,0.16043956043956045
21,tumor,7.601423487544484,7.471304347826087
21,lymphocyte,0.010676156583629894,0.07304347826086957
22,tumor,7.471389645776567,7.425891181988743
22,lymphocyte,0.11035422343324251,0.1050656660412758
23,tumor,7.196765498652291,7.105263157894737
23,lymphocyte,0.0862533692722372,0.10526315789473684
24,tumor,7.431578947368421,7.25
24,lymphocyte,0.07789473684210527,0.12828947368421054
25,tumor,7.494983277591973,7.315789473684211
25,lymphocyte,0.03678929765886288,0.21578947368421053
26,tumor,6.622641509433962,6.571428571428571
26,lymphocyte,0.5990566037735849,0.6
27,tumor,6.987854251012146,6.660714285714286
27,lymphocyte,0.242914979757085,0.25892857142857145
28,tumor,7.47239263803681,7.2875
28,lymphocyte,0.026584867075664622,0.065625
29,tumor,7.342541436464089,7.078947368421052
29,lymphocyte,0.04419889502762431,0.2850877192982456
30,tumor,7.543103448275862,7.391489361702128
30,lymphocyte,0.028735632183908046,0.12978723404255318
31,tumor,7.427299703264095,7.295774647887324
31,lymphocyte,0.10237388724035608,0.2347417840375587
32,tumor,7.58273381294964,7.474426807760141
32,lymphocyte,0.017985611510791366,0.07054673721340388
33,tumor,7.592549476135041,7.462639109697934
33,lymphocyte,0.009313154831199068,0.09697933227344992
34,tumor,7.289293849658314,7.1678321678321675
34,lymphocyte,0.1366742596810934,0.1853146853146853
35,tumor,7.553738317757009,7.51227495908347
35,lymphocyte,0.06425233644859812,0.04582651391162029
36,tumor,7.551145038167939,7.334728033472803
36,lymphocyte,0.025954198473282442,0.1192468619246862
37,tumor,7.51559633027523,7.247813411078718
37,lymphocyte,0.03486238532110092,0.19825072886297376
38,tumor,7.536023054755043,7.317796610169491
38,lymphocyte,0.0446685878962536,0.2288135593220339
39,tumor,7.531914893617022,7.298076923076923
39,lymphocyte,0.009819967266775777,0.17067307692307693
40,tumor,7.529832935560859,7.499153976311336
40,lymphocyte,0.10859188544152745,0.06598984771573604
41,tumor,6.8144796380090495,6.699029126213592
41,lymphocyte,0.3665158371040724,0.21359223300970873
42,tumor,7.465313028764806,7.243107769423559
42,lymphocyte,0.050761421319796954,0.2556390977443609
43,tumor,7.549382716049383,7.294372294372295
43,lymphocyte,0.046296296296296294,0.1645021645021645
44,tumor,7.206896551724138,7.188524590163935
44,lymphocyte,0.21182266009852216,0.14344262295081966
45,tumor,7.15,6.616438356164384
45,lymphocyte,0.14285714285714285,0.4726027397260274
46,tumor,7.383064516129032,7.20945945945946
46,lymphocyte,0.10080645161290322,0.1858108108108108
47,tumor,7.469512195121951,7.337807606263982
47,lymphocyte,0.08231707317073171,0.19910514541387025
48,tumor,7.430127041742287,7.300578034682081
48,lymphocyte,0.10526315789473684,0.1907514450867052
49,tumor,7.419354838709677,7.1875
49,lymphocyte,0.041474654377880185,0.21875
50,tumor,7.343283582089552,7.297921478060046
50,lymphocyte,0.19900497512437812,0.20092378752886836
51,tumor,7.411764705882353,7.234567901234568
51,lymphocyte,0.08316430020283976,0.10802469135802469
52,tumor,7.521885521885522,7.25984251968504
52,lymphocyte,0.018518518518518517,0.15748031496062992
53,tumor,7.457431457431458,7.41010101010101
53,lymphocyte,0.13131313131313133,0.11515151515151516
54,tumor,7.5030674846625764,7.269911504424779
54,lymphocyte,0.06595092024539877,0.31194690265486724
55,tumor,7.404,7.278996865203761
55,lymphocyte,0.078,0.109717868338558
56,tumor,7.134751773049645,6.858895705521473
56,lymphocyte,0.1702127659574468,0.26993865030674846
57,tumor,7.445628997867804,7.175097276264592
57,lymphocyte,0.0255863539445629,0.1828793774319066
58,tumor,7.583815028901734,7.480769230769231
58,lymphocyte,0.015028901734104046,0.027243589743589744
59,tumor,7.478036175710594,7.484320557491289
59,lymphocyte,0.12790697674418605,0.09930313588850175
60,tumor,7.458646616541353,7.275
60,lymphocyte,0.05639097744360902,0.165625
61,tumor,7.528057553956835,7.322175732217573
61,lymphocyte,0.04748201438848921,0.20502092050209206
62,tumor,7.62214983713355,7.459041731066461
62,lymphocyte,0.004343105320304018,0.08191653786707882
63,tumor,7.551724137931035,7.417508417508418
63,lymphocyte,0.04926108374384237,0.15151515151515152
64,tumor,7.490259740259741,7.268965517241379
64,lymphocyte,0.0633116883116883,0.2413793103448276
65,tumor,7.205776173285199,6.6106870229007635
65,lymphocyte,0.08664259927797834,0.5190839694656488
66,tumor,6.872340425531915,6.483516483516484
66,lymphocyte,0.23404255319148937,0.25274725274725274
67,tumor,7.4815695600475625,7.4183006535947715
67,lymphocyte,0.1367419738406659,0.12418300653594772
68,tumor,7.476923076923077,7.234177215189874
68,lymphocyte,0.028846153846153848,0.22151898734177214
69,tumor,7.577752553916005,7.476780185758514
69,lymphocyte,0.032917139614074914,0.08513931888544891
70,tumor,7.329896907216495,7.27887323943662
70,lymphocyte,0.19759450171821305,0.11830985915492957
71,tumor,7.494845360824742,7.174262734584451
71,lymphocyte,0.024054982817869417,0.3190348525469169
72,tumor,7.251758087201125,7.177777777777778
72,lymphocyte,0.12236286919831224,0.14888888888888888
73,tumor,7.409190371991247,7.241635687732342
73,lymphocyte,0.05689277899343545,0.1412639405204461
74,tumor,7.411764705882353,7.154811715481172
74,lymphocyte,0.00980392156862745,0.04602510460251046
75,tumor,7.387755102040816,7.217391304347826
75,lymphocyte,0.04897959183673469,0.08695652173913043
76,tumor,7.586046511627907,7.444444444444445
76,lymphocyte,0.013953488372093023,0.08754208754208755
77,tumor,7.310502283105023,7.064150943396227
77,lymphocyte,0.1278538812785388,0.3169811320754717
78,tumor,7.5471289274106175,7.483037156704362
78,lymphocyte,0.028169014084507043,0.0791599353796446
79,tumor,7.4718909710391825,7.310173697270471
79,lymphocyte,0.05792163543441227,0.20347394540942929
80,tumor,7.582329317269076,7.374757281553398
80,lymphocyte,0.008032128514056224,0.1941747572815534
81,tumor,7.5708712613784135,7.4525139664804465
81,lymphocyte,0.035110533159947985,0.0931098696461825
82,tumor,7.536098310291859,7.321739130434783
82,lymphocyte,0.027649769585253458,0.1782608695652174
83,tumor,7.157190635451505,6.980645161290322
83,lymphocyte,0.17725752508361203,0.14838709677419354
84,tumor,7.225806451612903,6.9837837837837835
84,lymphocyte,0.16422287390029325,0.25405405405405407
85,tumor,7.254019292604502,7.0344827586206895
85,lymphocyte,0.0707395498392283,0.26436781609195403
86,tumor,7.402985074626866,7.277777777777778
86,lymphocyte,0.07036247334754797,0.0
87,tumor,7.3293413173652695,7.242647058823529
87,lymphocyte,0.09780439121756487,0.08088235294117647
88,tumor,7.163434903047092,7.0964912280701755
88,lymphocyte,0.1994459833795014,0.20614035087719298
89,tumor,7.4,7.176056338028169
89,lymphocyte,0.06382978723404255,0.20422535211267606
90,tumor,7.4958677685950414,7.398821218074656
90,lymphocyte,0.09504132231404959,0.10805500982318271
91,tumor,7.504739336492891,7.4754653130287645
91,lymphocyte,0.14218009478672985,0.09137055837563451
92,tumor,7.521541950113379,7.4818181818181815
92,lymphocyte,0.11564625850340136,0.051515151515151514
93,tumor,7.463714637146372,7.4520547945205475
93,lymphocyte,0.16359163591635917,0.05136986301369863
94,tumor,7.564971751412429,7.42578125
94,lymphocyte,0.009887005649717515,0.05078125
95,tumor,6.586956521739131,6.363636363636363
95,lymphocyte,0.44565217391304346,0.2857142857142857
96,tumor,6.557768924302789,6.921875
96,lymphocyte,0.6573705179282868,0.0
97,tumor,7.546568627450981,7.4630872483221475
97,lymphocyte,0.0784313725490196,0.12248322147651007
98,tumor,7.5545556805399325,7.482035928143713
98,lymphocyte,0.06636670416197975,0.06287425149700598
99,tumor,6.884615384615385,6.2025316455696204
99,lymphocyte,0.3076923076923077,0.7088607594936709
100,tumor,7.578231292517007,7.365384615384615
100,lymphocyte,0.01904761904761905,0.14038461538461539
101,tumor,7.135734072022161,6.849462365591398
